requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id,alpha,ensemble_forecast,interval_correction,corrected_q0.1_lower,corrected_q0.5_median,corrected_q0.9_upper,evaluation_role
2026-03-01,2026-02-27,1424.5,8,2026-03-12,1467.3,1398.393310546875,1427.46923828125,1454.5899658203125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.984619140625,3.008544921875,1395.384765625,1427.46923828125,1457.5985107421875,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,9,2026-03-13,1479.8,1397.101318359375,1427.54931640625,1456.7081298828125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.024658203125,3.008544921875,1394.0927734375,1427.54931640625,1459.7166748046875,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,10,2026-03-16,1489.5,1395.1082763671875,1427.435546875,1458.08447265625,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1425.9677734375,3.008544921875,1392.0997314453125,1427.435546875,1461.093017578125,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,11,2026-03-17,1496.0,1393.686279296875,1427.5028076171875,1459.87060546875,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.0014038085938,3.008544921875,1390.677734375,1427.5028076171875,1462.879150390625,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,12,2026-03-18,1491.6,1392.2587890625,1427.6339111328125,1460.847412109375,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.0669555664062,3.008544921875,1389.250244140625,1427.6339111328125,1463.85595703125,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,13,2026-03-19,1486.0,1391.191162109375,1428.0743408203125,1461.382080078125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.2871704101562,3.008544921875,1388.1826171875,1428.0743408203125,1464.390625,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,14,2026-03-20,1499.7,1390.375,1427.746337890625,1463.1854248046875,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.1231689453125,3.008544921875,1387.366455078125,1427.746337890625,1466.1939697265625,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,15,2026-03-23,1494.9,1389.1392822265625,1428.374755859375,1463.9732666015625,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.4373779296875,3.008544921875,1386.1307373046875,1428.374755859375,1466.9818115234375,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,16,2026-03-24,1509.6,1387.83447265625,1428.37939453125,1465.2647705078125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.439697265625,3.008544921875,1384.825927734375,1428.37939453125,1468.2733154296875,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,17,2026-03-25,1498.3,1388.40673828125,1429.4696044921875,1465.137939453125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.9848022460938,3.008544921875,1385.398193359375,1429.4696044921875,1468.146484375,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,18,2026-03-26,1495.6,1386.4439697265625,1429.289794921875,1467.06787109375,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1426.8948974609375,3.008544921875,1383.4354248046875,1429.289794921875,1470.076416015625,out_of_calibration_2026_small_sample
2026-03-01,2026-02-27,1424.5,19,2026-03-27,1506.2,1385.5657958984375,1429.5877685546875,1467.9854736328125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1427.0438842773438,3.008544921875,1382.5572509765625,1429.5877685546875,1470.9940185546875,out_of_calibration_2026_small_sample
