forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
2004-07-30,20,4.7841955566406345,9.009999999999945,5.426281189729477,9.95781100443261,3.271894988943745,6.161908204079157,0.95,0.0,1.433329833984376,2.3920977783203172,1.9339260253906239,1.9197845458984393,1.0,33.67255859375,46.901270181568655,45.507288827694886
2004-09-01,20,3.881158447265636,5.775000000000034,4.595145321512328,6.380007836985803,2.6511178809045384,3.9447515401001425,1.0,0.0,1.8595800781250014,1.940579223632818,1.0835504150390611,1.6279032389322936,1.0,29.431304931640625,32.793793120941764,27.975867131798427
2004-10-01,20,4.535805664062513,9.090000000000032,6.156400292972801,11.324089367361976,3.0971082474075873,6.206772523785766,1.0,0.0,1.4441811523437516,2.2679028320312566,1.521828979492186,1.744637654622398,1.0,29.660101318359374,50.10114781009354,45.63447802949495
2004-11-01,20,22.608435058593727,30.499999999999932,30.639421272413482,38.02077063921766,15.41858211596546,20.80050004868389,1.0,0.0,10.408226928710935,11.304217529296864,3.6645288085937473,8.458991088867181,0.5,29.298004150390625,25.873983414446634,19.41399199097365
2004-12-01,20,16.35766723632812,7.095000000000004,18.51694200579863,8.120621897367243,11.108761043305122,4.8183312732520305,0.4,0.0,3.5807020874023414,8.17883361816406,1.9704658203124819,4.576667175292961,0.55,37.410885620117185,-130.55203997643565,-128.02369374939053
2004-12-31,20,5.054742431640648,7.7349999999999905,7.230381381551375,8.47115694577782,3.4211869006567723,5.235257984844717,0.75,0.0,1.8019555664062494,2.527371215820324,1.854476318359379,2.0612677001953172,0.8,27.683166503906243,34.651035143624384,14.647061460062664
2005-02-01,20,8.21016174316406,8.660000000000025,9.34908059575588,12.671464003815872,5.541720523689689,5.845353750200029,0.6,0.0,1.2819998168945352,4.10508087158203,1.701365966796876,2.3628155517578135,0.9,28.157510375976557,5.194437145911827,26.21941242984626
2005-02-28,20,6.611604614257823,4.525000000000011,8.562716277744132,5.162218515328467,4.45450473911914,3.0486750373799874,0.75,0.0,2.240886230468749,3.3058023071289115,0.9668179321289072,2.1711688232421893,1.0,32.07704162597656,-46.11280915486866,-65.87279775775424
2005-04-01,20,8.180288696289086,8.305000000000025,9.424389885807047,9.948241050557655,5.50422272893514,5.588136490163675,0.55,0.0,0.9112105102539096,4.090144348144543,2.35477734375,2.452044067382818,1.0,32.659878540039095,1.5016412246952229,5.265766702760419
2005-04-29,20,6.525479125976585,2.1900000000000035,7.829296267901565,2.534758371127317,4.383877262794858,1.4712622659847894,0.7,0.0,2.009858703613283,3.2627395629882927,0.6372998046874999,1.9699660237630254,1.0,26.471585083007824,-197.96708337792577,-208.87742031282994
