date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes,kr_yield_source_published_at_kst,kr_yield_safe_from_krw_date,kr_yield_availability_rule
2015-04-14,1.731,1.731,연%,1.731,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-14T16:00:00+09:00,2015-04-15,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-15,1.721,1.721,연%,1.721,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-15T16:00:00+09:00,2015-04-16,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-16,1.724,1.724,연%,1.724,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-16T16:00:00+09:00,2015-04-17,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-17,1.691,1.691,연%,1.691,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-17T16:00:00+09:00,2015-04-18,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-20,1.693,1.693,연%,1.693,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-20T16:00:00+09:00,2015-04-21,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-21,1.71,1.71,연%,1.71,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-21T16:00:00+09:00,2015-04-22,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-22,1.71,1.71,연%,1.71,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-22T16:00:00+09:00,2015-04-23,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-23,1.745,1.745,연%,1.745,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-23T16:00:00+09:00,2015-04-24,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-24,1.771,1.771,연%,1.771,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-24T16:00:00+09:00,2015-04-25,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-27,1.786,1.786,연%,1.786,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-27T16:00:00+09:00,2015-04-28,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-28,1.829,1.829,연%,1.829,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-28T16:00:00+09:00,2015-04-29,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
